GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "94000","Plains",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",272703120,276233116,280900072,284673432,289177152,292680076,294726284,303549724,309545788,312271428,317195948,316740240,322766492,323814280,323565476,325423236,326943200,329485212,331262664,332703924,333704900,336798340,341355140,344715368,347747996,353076832,360080304,363312012,363178240,366163664,372817184,375350480,384161616,388327352,387869348,394705784,404152844,410563772,410651200,416613376,422548712,424022460,427550108,431219980,411155256,410987584,410082016,411944036,408971668,416369212,420956040,425351352,427435660,432502556,437332360,436352932,449586864,452969936,455136332,465581932,464774736,467176928,469679820,472587932,482743200,486929776,492830396,499364704,509027648,510903768,513410024,515677308,517097764,517548660,524027628,529498204,535979632,538723700,541363748,549563580,554763940,562048264,566815432,569297848,577674908,581138384,585098896,592930056,599064412,569177764,590066056,609919136,610148604,625451396,634531948,651069180,660570972,667296692,688057680,690289752,703618069,710962308,723650132,730113198,740508810
 "94000","Plains",4,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",1829888,1901292,1923320,1900884,1821380,1759472,1738608,1759936,1830752,1905716,1973644,2027296,2056528,2082140,2098416,2105884,2034568,2026024,2011612,1989996,2087776,2082988,2101664,2144792,2124092,2172368,2203196,2216536,2034720,2023704,2005088,1978044,1920364,1922868,1960476,2034840,2648936,2740220,2786628,2788184,2567400,2543300,2536052,2545692,2575280,2586868,2583488,2565620,2508556,2462644,2403348,2330660,2371472,2362884,2436640,2593292,3107400,3286520,3380784,3392400,2740720,2708700,2703664,2727472,3095384,3113228,3091808,3033144,2817432,2763592,2747424,2769960,2805676,2866816,2928924,2992992,3151072,3178604,3170104,3124556,2981564,2922188,2883456,2867260,3182004,3211360,3265732,3344016,3032708,3093952,3126488,3129356,3240564,3220084,3206584,3200096,3070964,3093932,3138980,3206568,3265395,3306130,3323502,3399820,3489317
 "94000","Plains",4,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",270873232,274331824,278976752,282772548,287355772,290920604,292987676,301789788,307715036,310365712,315222304,314712944,320709964,321732140,321467060,323317352,324908632,327459188,329251052,330713928,331617124,334715352,339253476,342570576,345623904,350904464,357877108,361095476,361143520,364139960,370812096,373372436,382241252,386404484,385908872,392670944,401503908,407823552,407864572,413825192,419981312,421479160,425014056,428674288,408579976,408400716,407498528,409378416,406463112,413906568,418552692,423020692,425064188,430139672,434895720,433759640,446479464,449683416,451755548,462189532,462034016,464468228,466976156,469860460,479647816,483816548,489738588,496331560,506210216,508140176,510662600,512907348,514292088,514681844,521098704,526505212,532828560,535545096,538193644,546439024,551782376,559126076,563931976,566430588,574492904,577927024,581833164,589586040,596031704,566083812,586939568,606789780,606908040,622231312,631325364,647869084,657500008,664202760,684918700,687083184,700352674,707656178,720326630,726713378,737019493
 "94000","Plains",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",226780896,230032540,234138020,237462080,241919600,244746480,246117812,253711240,258986504,260917448,265627580,264649060,270232920,270484876,269228644,270650308,271371504,273287124,274651412,275665268,275817516,278159876,282649376,285407136,287738212,292418092,298920944,301558612,301166184,303860744,309914368,311691044,319926172,323371948,321984924,327953740,336076068,341842324,340882668,346118128,351052340,351761784,354391344,357298868,336735304,335719304,334535760,336214264,333551028,340773696,345151192,349828320,352031412,356687464,361393296,360392036,372896556,376078004,377688252,387800296,387226708,389355028,391982604,394424880,403806944,407309528,412667116,418408688,427622336,429188776,431731784,433521088,434312888,434307968,439840544,444908868,450842156,453023100,455450128,462535532,467687936,473930740,477857196,480625364,488146364,490904420,493341860,500387540,505093028,478550544,496820176,516152020,516236688,530599528,538409464,554158648,563398992,568846844,588237976,588839476,601795428,606189997,617370856,621121527,629000272
 "94000","Plains",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",342244,356080,356576,357320,375736,374344,371924,385788,356156,350304,395044,522308,381216,404972,429972,429540,408176,424336,445076,427876,(D),(D),(D),(D),526712,512540,496888,521128,526880,529068,543440,553448,558608,564496,539552,562324,556536,585684,622972,612740,627428,641828,689248,707048,680432,700668,707468,718872,736716,782796,776968,771384,777932,775012,834600,824644,857708,880732,893184,929292,920340,941128,970840,986640,978944,952676,977220,997552,1006960,1006380,1068976,1025188,1079928,1067912,1090952,1113748,1119452,1124832,1118688,1145012,1158744,1152596,1176300,1195500,1201036,1237428,1267928,1276352,1290392,1263780,1360940,1345528,1330784,1282196,1409960,1418128,1391204,1418592,1446512,1492320,1472473,1452187,1473931,1536522,1387724
 "94000","Plains",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1165776,1132236,1115592,1084896,1078692,1077660,1072212,1115652,1116580,1134080,1140520,1119536,1144240,1159856,1104024,1078812,1051532,1032372,1039656,1050636,(D),(D),(D),(D),1136532,1177816,1291660,1295284,1474392,1345332,1465008,1457992,1427616,1530044,1499032,1528736,1570968,1613668,1664236,1764000,1876324,1933024,2001440,2036436,1784824,1515660,1562300,1611136,1753108,2014088,2183316,2341636,2556884,2758876,3093660,3270128,3633940,4011444,3974836,3902280,3976608,4061972,4144660,4233688,4451156,4710460,4809908,4957804,4492824,3894964,3523460,3266544,2878448,2638512,2710988,2741768,2951748,3122460,3271908,3357728,3513752,3672156,3749844,3821296,3906188,3802540,3812096,3773968,3744580,2885836,2574088,2731708,2791296,3049036,3153924,3321992,3504188,3606176,3917140,3959404,4259823,4159186,4247201,4255327,4291752
 "94000","Plains",4,SQINC7N,300,"22","   Utilities ","Thousands of dollars",2486596,2503644,2523140,2574256,2651156,2619780,2553772,2652936,2739676,2581072,2791516,2728116,3061004,2910044,2976116,2946640,3453376,3009268,3145084,2979856,2812856,2882852,2918484,2998352,3176588,3163920,2999624,3081268,2935096,3068240,3173312,3270956,3112492,3224440,3271836,3304480,3379472,3470072,3561356,3482904,3639832,3646388,3772900,3772292,3752188,3714096,3710280,3752508,3758040,3747924,3770696,3858812,3936284,4013160,4044772,3934124,3928492,3933488,4010828,4055496,3983852,4156208,4072548,4091368,4185804,4238472,4181924,4286264,4145760,4284444,4238276,4165460,4136176,4169532,4251828,4355176,4264564,4302588,4401728,4423588,4415824,4447432,4517576,4538292,4674276,4561796,4490356,4639040,4679180,4614812,4724532,4787316,4619820,5199228,4809204,4792360,4890372,4933340,4982140,5054668,4918284,5179090,5193357,5218670,5351881
 "94000","Plains",4,SQINC7N,400,"23","   Construction ","Thousands of dollars",13991460,14293624,14854552,15334808,15914760,16210280,16562268,17241408,17746492,17612968,17535124,17534084,18484648,18482088,18296376,18572816,18739216,18562228,18663244,18803756,18583244,18839632,19305200,19546852,19259572,20057232,20348160,20330604,20313076,20698772,21054436,20960084,22361156,22197604,21529124,21834276,22837804,22744968,22756976,23265872,23584760,23217228,23243544,22733948,21467828,20468156,20515664,19612032,18893012,18952964,19100316,19115172,18861144,19375888,19950804,19855844,21067948,21293452,20900700,21554508,21694420,22320520,23267312,23641576,24224696,24799324,25278276,25836932,27090356,27118036,26904588,27389972,27848672,28326192,28657784,28721248,28937344,28208792,28398192,28838312,29174000,29289288,29943880,30384856,30900484,32087108,32402664,32590992,32657576,31858860,32950884,33746412,33921984,34479048,35792028,36764716,36991000,37346064,38658724,39274508,40468974,41952403,41665746,43167389,44388281
 "94000","Plains",4,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",48448536,49016732,49167320,49830288,49892844,50512764,50910888,51699544,52680096,52786764,52881604,52523532,52927404,52371124,51526288,50932500,50642256,51501120,51026604,50828416,50729648,50429240,51013488,52455448,51817756,53175620,55020864,54871548,54162452,54944960,55604392,55639128,56940112,57830936,56842732,58096668,58954204,59188784,58612752,58728604,59574268,59648324,59112608,60275596,54488052,53626568,52151348,52823652,51050864,53732328,55068404,55050308,55157176,56083856,56657932,56934576,57893844,58263984,58501728,58861060,59226476,59888440,59943556,60147636,61668360,61997392,62310292,63174936,64394024,63966612,64982344,65216308,64264872,64564992,64806456,65629148,66481056,67023676,67523272,68550860,69937432,70166028,71018484,71432432,71884480,72364032,72244264,73385512,73906596,70260468,71638608,74552816,74645480,75981168,76564816,79011016,80783348,82220288,84978072,84902284,86903489,87293952,88219653,89681932,90900800
 "94000","Plains",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",31421856,31800940,31918128,32297436,32208956,32600548,32894972,33533684,34325828,34424176,34451120,34017080,34170436,33847688,33171764,32586104,32157852,32729500,32506840,32302688,32125568,31972504,32535580,33549324,33403680,34306820,35763064,35568856,35161376,35828988,36270796,36419328,37288020,38102436,37351548,38434500,38837984,38718672,38445264,38463384,38707356,38674556,38498684,37612528,34786180,33826612,32468264,32770308,31568588,33548584,34794060,34758480,34909120,35759484,36058280,36385408,36885628,37208156,37223552,37456368,37874156,38313720,38659508,38627564,39744384,39867156,40236344,40516568,41310272,40979268,41575780,41612768,40737316,40776352,40715056,40955372,41352468,41849620,42119640,42960792,43652228,44170820,44715304,45037340,45496456,45514992,45224724,46090024,46149720,42836188,43382356,45114788,45838288,46997512,46440144,48095804,49132304,50388616,52228600,52051420,53515849,54137010,54813560,56232891,57219636
