GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "45000","South Carolina",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",47492580,48552704,49800448,50956936,51093660,51890912,52744108,53480088,54436760,55376640,55535564,55659988,56483752,56365996,56505796,56722140,56635708,57617800,58019896,58504548,58793532,59176124,59863324,60945532,60907440,62452344,63847744,64129024,64701980,65477488,66297052,67285916,69381996,69693000,70187236,71377196,72752928,73532492,73982864,74926452,75343132,75412424,75378212,74812700,71975940,71827120,71857068,72782952,71681000,73484268,74023844,74109876,75036132,75935928,76525872,76082916,78369456,78699908,78981864,79988832,81037124,80957068,81568024,82255984,83682164,85209612,85798924,87181604,88592416,89801528,91499200,92219792,92786980,93819668,94727660,96440272,97658812,98687228,99510772,100434196,101558664,102205776,103246676,104587076,107195732,107363536,108478920,110461360,111118420,104657200,111006172,114590076,114870540,118270344,121297832,124533672,127136224,129327152,133299792,135080388,138255054,139275182,143359235,144760447,147260757
 "45000","South Carolina",5,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",120836,120800,119136,116816,110252,108044,107452,108500,110852,113212,118320,125172,148404,150256,151428,151964,143676,143076,142052,140524,116300,116032,117080,119488,150080,153492,155672,156616,137336,136596,135344,133508,136884,137068,139748,145048,150008,155180,157816,157900,141652,140328,139928,140464,141640,142288,142096,141112,150636,147884,144324,139956,121104,120668,124432,132436,177672,187912,193308,193972,149100,147356,147076,148380,127040,127764,126884,124480,158376,155344,154428,155700,134892,137824,140812,143896,123340,124424,124084,122296,127168,124640,122992,122292,90996,91840,93388,95628,92664,94536,95524,95608,119692,118940,118444,118204,110524,111348,112972,115412,117529,118995,119621,122368,125589
 "45000","South Carolina",5,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",47371744,48431904,49681312,50840120,50983408,51782868,52636656,53371588,54325908,55263428,55417244,55534816,56335348,56215740,56354368,56570176,56492032,57474724,57877844,58364024,58677232,59060092,59746244,60826044,60757360,62298852,63692072,63972408,64564644,65340892,66161708,67152408,69245112,69555932,70047488,71232148,72602920,73377312,73825048,74768552,75201480,75272096,75238284,74672236,71834300,71684832,71714972,72641840,71530364,73336384,73879520,73969920,74915028,75815260,76401440,75950480,78191784,78511996,78788556,79794860,80888024,80809712,81420948,82107604,83555124,85081848,85672040,87057124,88434040,89646184,91344772,92064092,92652088,93681844,94586848,96296376,97535472,98562804,99386688,100311900,101431496,102081136,103123684,104464784,107104736,107271696,108385532,110365732,111025756,104562664,110910648,114494468,114750848,118151404,121179388,124415468,127025700,129215804,133186820,134964976,138137525,139156187,143239614,144638079,147135168
 "45000","South Carolina",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",38005068,38898440,39975676,41004812,40944764,41605980,42188540,42803480,43591464,44196764,44159840,44272884,45243804,44937884,44841604,44880056,44705592,45505744,45858088,46249476,46379588,46622188,47136856,48254660,47928876,49448892,50394276,50669540,51055112,51597196,52387292,53044012,55126156,55210340,55486272,56540088,57645616,58113404,58240840,58984100,59105772,58938720,58621460,57939800,55093900,54772492,54781820,55544952,54644848,56183916,57193160,57388604,58248204,58947832,59526492,58984200,61195072,61424984,61390176,62321016,63280880,63049588,63812236,64432008,65734824,67124320,67530304,68742596,69825212,70906620,72443260,73079624,73476608,74474804,75351268,76896588,78075524,78978448,79663448,80401908,81696692,82092104,83143640,84553760,86882296,86863472,87544332,89177808,89063852,83722128,89221656,93047272,93017024,96186736,98679772,101831896,104396268,106241888,110127964,111306352,114205126,115075471,118145406,119510527,121422629
 "45000","South Carolina",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",150744,168788,175456,175168,172676,167408,171848,170772,161060,156588,179184,232960,187392,190116,203040,195900,191376,190704,184400,180080,189608,190504,190112,201432,193168,194380,196548,201728,197228,198828,199520,201400,209208,210140,203956,213916,206944,209704,209940,207880,207532,208884,208868,201460,188616,197696,203900,201444,207356,219952,220296,219744,216152,209884,218640,221932,221436,221148,218920,226892,233100,227476,231944,237588,241440,243428,242496,266172,250380,259072,283140,261340,277104,267016,275048,276508,294232,287320,285340,293556,300744,306748,295144,296580,303144,309016,308068,302924,297828,299156,335392,326980,318688,308144,353420,333756,335304,349424,365348,418396,360464,350325,356434,339062,341446
 "45000","South Carolina",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",69568,72216,75008,77584,82076,75676,77640,79932,74516,77428,73224,71264,69416,64852,64004,64720,65388,66976,65496,65060,63220,65036,65924,67856,63392,67524,71488,69056,68196,69484,70508,68104,69484,69928,70012,71324,71128,70376,68176,68532,70896,68624,68860,64552,55528,56396,58620,59892,54080,63712,62124,59124,59144,62332,63912,64496,64420,65144,63000,61856,62552,63140,61532,64932,66432,66724,66044,67744,69124,80864,78436,114876,90576,90464,102196,106236,111676,107104,116380,112236,118528,115428,117748,124680,151752,153024,155372,146044,132760,136144,137652,157204,138708,150736,149908,163916,155232,173940,174652,177280,192958,190905,202019,200164,202958
 "45000","South Carolina",5,SQINC7N,300,"22","   Utilities ","Thousands of dollars",638204,630824,621288,630032,597844,634392,624052,651268,677304,648948,665664,652500,677540,687252,696880,702984,622524,714928,710604,697852,718480,698788,733456,750376,825072,744152,746072,758952,745804,745380,781656,806088,849376,855376,834488,869156,744068,839924,878212,851952,879820,900728,885540,932896,930284,903296,905604,937456,944440,947536,935340,952848,979284,995748,943952,917308,948632,956428,1031948,1011700,1053108,975464,1054104,1058844,1077256,1095268,1084900,1062412,1145452,1096360,1159988,1161760,1150516,1173068,1167424,1213828,1251236,1215308,1179936,1183656,1062420,1139096,1145332,1185724,1276540,1129240,1166292,1164064,1159276,1288948,1121788,1109652,1074080,1105968,1168704,1137896,1245332,1163448,1239340,1238608,1221701,1253190,1242909,1241493,1264177
 "45000","South Carolina",5,SQINC7N,400,"23","   Construction ","Thousands of dollars",2879108,3072812,3304540,3358188,3345212,3392708,3387796,3473848,3526820,3547556,3527792,3598404,3706960,3708680,3670776,3656964,3631436,3708824,3745100,3743132,3783996,3802716,3862800,4046356,3915708,4059648,4154500,4170508,4194040,4264644,4426140,4552140,4900532,4984132,4987008,5063276,5138656,5155652,5064256,5095332,4960520,4748088,4548380,4411624,3996592,3774116,3629048,3541348,3446720,3456120,3530864,3391268,3420084,3408924,3397984,3301048,3589852,3509344,3548000,3598316,3660572,3678276,3755120,3808068,3936196,3975280,4009212,4076156,4186404,4283304,4412076,4552536,4640108,4834328,5114696,5205200,5589548,5712508,5640048,5628544,5657304,5704936,5718172,5832436,6129860,6126092,6222836,6248312,6132552,5984112,6338068,6562400,6285212,6442812,6783728,7030912,7117844,7255044,7498404,7734028,7913654,7946247,8297926,8452774,8658703
 "45000","South Carolina",5,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",10908688,11007644,11114232,11401796,11207956,11253740,11427144,11526764,11744784,11874572,11926152,11830856,11855860,11590684,11311524,11175508,11051024,11211404,11192584,11194136,11197508,11151164,11073796,11322492,10862968,11079708,11415236,11131432,11296132,11137268,11111220,11418012,11573424,11536204,11428752,11441696,11593824,11627388,11629416,11601408,11761452,11666152,11648248,11472872,10417720,10366520,10304204,10800704,10185644,10675412,10861396,10926272,11391424,11413452,11480204,11453248,11881316,11933060,11887188,12160056,12271508,12244392,12415276,12548728,12834004,13183200,13130940,13427240,13636728,13676676,13999264,13937544,14094748,14175040,14057280,14430440,14367368,14691012,14772768,14811512,15409712,15060092,15364464,15719844,16314620,16321856,16205088,16357512,16075168,14753472,15702556,16091032,16232040,16512512,16618484,17122132,17620388,18157120,18603312,18482660,19201968,19335213,19902621,19924670,20218069
 "45000","South Carolina",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",4848276,4938336,4967684,5180336,5080376,5161572,5254680,5365684,5505536,5580840,5710192,5656772,5631168,5585772,5501228,5456840,5354552,5455544,5444828,5454492,5514592,5521428,5526072,5705276,5583756,5780256,5985988,5908032,5940344,5969960,6002896,6286504,6332360,6348056,6293436,6360232,6482716,6565020,6616304,6575532,6732804,6686692,6712976,6601768,6031804,5861220,5759308,6168836,5740816,6099088,6260820,6257664,6560596,6675516,6750456,6782164,7040928,7035216,7091152,7258984,7326132,7319748,7462800,7536532,7743224,8077232,7993300,8169996,8253592,8327424,8527112,8468564,8594540,8741868,8571952,8844592,8651660,8938204,8921728,9037152,9527440,9059572,9349568,9538856,9866980,9997252,9862684,9969872,9899928,8927004,9490264,9718700,9888636,10230576,10096248,10382572,10670240,11086976,11431748,11341544,11966447,12092449,12528338,12446033,12725326
 "45000","South Carolina",5,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",6060412,6069308,6146548,6221460,6127580,6092168,6172464,6161080,6239248,6293732,6215960,6174084,6224692,6004912,5810296,5718668,5696472,5755860,5747756,5739644,5682916,5629736,5547724,5617216,5279212,5299452,5429248,5223400,5355788,5167308,5108324,5131508,5241064,5188148,5135316,5081464,5111108,5062368,5013112,5025876,5028648,4979460,4935272,4871104,4385916,4505300,4544896,4631868,4444828,4576324,4600576,4668608,4830828,4737936,4729748,4671084,4840388,4897844,4796036,4901072,4945376,4924644,4952476,5012196,5090780,5105968,5137640,5257244,5383136,5349252,5472152,5468980,5500208,5433172,5485328,5585848,5715708,5752808,5851040,5774360,5882272,6000520,6014896,6180988,6447640,6324604,6342404,6387640,6175240,5826468,6212292,6372332,6343404,6281936,6522236,6739560,6950148,7070144,7171564,7141116,7235521,7242764,7374283,7478637,7492743
 "45000","South Carolina",5,SQINC7N,600,"42","   Wholesale trade ","Thousands of dollars",2070084,2157140,2211380,2270324,2278588,2305308,2331888,2422452,2481440,2547000,2560804,2576488,2596112,2617696,2612504,2578328,2646180,2688216,2732268,2722368,2630436,2669536,2676376,2768400,2818992,2940404,3029000,3117096,3205696,3228152,3329032,3356820,3492192,3550524,3602492,3707972,3830660,3868372,3893208,3939156,3975544,3991108,3965300,3901060,3662648,3573812,3522596,3565304,3460280,3571024,3653140,3651540,3738580,3763100,3799568,3774040,3932888,3965340,3989560,4063640,4078836,4083756,4066804,4115044,4243508,4322080,4446464,4477308,4580752,4639456,4711288,4720812,4708592,4764632,4774468,4891456,4943440,5023860,5039444,4988756,5044028,5007500,5087064,5228952,5310680,5351644,5420352,5492840,5552528,5381300,5534188,5830612,5779820,6012328,6189776,6377824,6777608,6794596,7065528,7170360,7294421,7470562,7689372,7581531,7669728
