GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "46000","South Dakota",4,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",8226452,8351432,8437144,8650308,8739948,8978232,8989312,9408640,9590240,9607360,9681160,9647728,9896672,9993324,10056056,10108864,10168760,10263492,10435764,10492176,10554312,10624508,10701568,10997304,11063468,11321968,11446400,11442584,11712548,11714992,11848620,11971980,12316032,12406528,12480100,12747604,13039572,13334784,13390996,13628668,14025536,13958820,14097004,14094228,13877236,13945776,14027956,13922732,14066008,14228052,14626692,14465944,14753196,14875792,14927456,15242592,15547456,15799036,15646960,16021556,15942524,16072408,16173452,16356240,16776596,16896344,17085660,17253232,17558592,17765108,17762372,17860308,18234348,18245756,18456732,18538248,18827320,18955620,19151272,19342176,19560476,19684212,20006328,20060396,20428256,20584452,20788260,20985256,21494380,21033012,21887008,22774968,22598560,23049432,23586188,24394344,24866928,24956160,25556836,25785084,26238961,26787580,27198096,27490733,27831458
 "46000","South Dakota",4,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",110264,115008,116604,115344,110716,106860,105908,107812,112972,118280,123736,128660,134744,136424,137484,137980,127280,126744,125844,124484,101956,101728,102636,104744,146400,149728,151856,152776,151496,150672,149288,147272,146588,146776,149648,155324,212988,220328,224060,224184,241512,239252,238568,239476,181056,181868,181632,180380,185960,182568,178172,172776,191216,190524,196468,209096,283416,299752,308352,309420,247116,244228,243780,245920,256060,257532,255768,250912,167600,164400,163436,164784,170900,174624,178404,182308,226612,228588,227980,224704,205324,201232,198568,197448,250980,253292,257576,263760,255440,260600,263348,263588,240572,239048,238044,237564,264456,266432,270308,276128,281194,284702,286198,292770,300476
 "46000","South Dakota",4,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",8116188,8236424,8320540,8534964,8629232,8871372,8883404,9300828,9477268,9489080,9557424,9519068,9761928,9856900,9918572,9970884,10041480,10136748,10309920,10367692,10452356,10522780,10598932,10892560,10917068,11172240,11294544,11289808,11561052,11564320,11699332,11824708,12169444,12259752,12330452,12592280,12826584,13114456,13166936,13404484,13784024,13719568,13858436,13854752,13696180,13763908,13846324,13742352,13880048,14045484,14448520,14293168,14561980,14685268,14730988,15033496,15264040,15499284,15338608,15712136,15695408,15828180,15929672,16110320,16520536,16638812,16829892,17002320,17390992,17600708,17598936,17695524,18063448,18071132,18278328,18355940,18600708,18727032,18923292,19117472,19355152,19482980,19807760,19862948,20177276,20331160,20530684,20721496,21238940,20772412,21623660,22511380,22357988,22810384,23348144,24156780,24602472,24689728,25286528,25508956,25957767,26502878,26911898,27197963,27530982
 "46000","South Dakota",4,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",6404304,6502276,6618720,6761756,6870764,7080680,7077744,7418152,7549388,7539108,7603448,7572876,7768708,7829304,7838084,7870512,7935924,8003292,8132640,8182048,8222640,8273392,8369600,8553452,8567864,8771320,8913836,8909172,9108528,9120476,9272692,9345268,9696580,9753536,9798888,10030596,10252292,10538728,10537372,10748984,11093084,11001284,11095656,11045988,10863488,10864600,10931724,10844004,10906760,11063364,11448120,11327292,11533364,11669172,11772364,12047688,12193048,12501828,12337300,12713588,12685652,12800308,12898628,13051140,13448200,13527288,13690152,13844652,14200692,14391052,14381468,14490380,14748668,14757908,14926336,14938456,15149960,15238776,15428028,15582256,15810156,15894640,16185736,16266072,16548636,16679880,16842828,16999264,17419220,17031568,17785592,18602748,18442064,18879644,19291372,20131932,20491264,20524716,21159556,21232436,21634432,22060538,22430753,22564721,22804103
 "46000","South Dakota",4,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",26996,27060,30852,29444,29656,29780,28840,30668,28780,29164,26484,37972,21096,21804,23844,22032,21876,22012,23212,23036,(D),(D),(D),(D),26236,26828,27020,27888,29480,29932,30144,30060,33048,33320,32832,31304,41120,35892,36692,39124,38848,40836,44884,43028,44240,46772,46952,42992,49416,50200,51776,53104,52900,53764,58916,60536,59924,65408,56904,59936,63020,65032,66836,68080,56960,62332,65504,66180,64216,62908,71552,69132,73344,70032,70004,72428,73240,74228,72892,74120,76492,75868,75832,78932,79640,80652,87804,84036,89684,87712,91408,87500,91768,88028,92256,97792,97148,97028,104020,105872,111046,111988,114557,108724,101003
 "46000","South Dakota",4,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",81928,71388,60260,52816,46424,46716,43284,45824,43464,43016,41756,39728,46368,45096,40964,43080,40632,34864,32744,33936,(D),(D),(D),(D),28008,30408,31388,32236,30608,32132,37616,32808,34188,36416,34944,34916,36144,37776,40904,43932,46144,49112,49632,45152,40988,38576,33796,42332,36176,41072,40548,44376,42296,45408,51804,45936,45200,47664,45736,56188,50128,46308,46512,46340,47308,47908,47000,49552,54112,47680,49208,52288,48176,51132,47168,51096,51288,52948,53180,52832,55368,53468,56960,57992,55936,54892,60672,60580,60840,60992,59108,64440,73432,80244,84036,90040,91868,100172,104916,105980,114008,107603,122776,129379,136097
 "46000","South Dakota",4,SQINC7N,300,"22","   Utilities ","Thousands of dollars",91048,88456,88168,89920,87376,85184,86236,87324,88648,87648,89340,87892,94756,90552,92200,89008,112808,90672,102064,101024,102792,104672,104796,108000,106448,109888,104272,111268,111924,128252,128396,133208,134436,129376,127680,125616,141240,132800,137308,138664,130444,128108,129488,127348,135400,128692,132244,124544,143268,133240,134904,131572,139572,138376,136452,141052,133056,139280,137584,137044,136504,145608,139636,149628,148808,145172,145944,147852,150280,154116,154636,149988,156700,158600,155656,161880,161724,159140,158968,160664,166088,165768,167792,168628,165888,169812,170564,174156,177572,170164,179916,173560,184780,178216,185456,184524,191056,202604,192672,204148,194249,200016,201511,208443,213155
 "46000","South Dakota",4,SQINC7N,400,"23","   Construction ","Thousands of dollars",432720,435388,445044,456852,478744,484196,487320,513424,529976,541520,546856,531104,547656,552640,559152,560412,570872,573404,576752,585360,586176,600840,618312,622212,610468,640296,642048,651488,667548,682748,705340,701844,754388,765792,752052,760260,784716,800032,829184,863984,870636,844272,834812,827676,811228,830724,864572,770608,783128,778572,799076,799696,777888,797256,816228,832640,861572,838508,793248,814012,821008,843360,891276,889944,912204,926568,944116,954796,1042448,1035772,996268,1023492,1047132,1098632,1205120,1107032,1089924,1083864,1077584,1097764,1139032,1138680,1160840,1169488,1201532,1209456,1242908,1285828,1278792,1310780,1400460,1399092,1414804,1424184,1440760,1455456,1536192,1548464,1590356,1638588,1764831,1813870,1836083,1948376,2030172
 "46000","South Dakota",4,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",1091856,1102600,1122312,1144068,1153132,1172516,1149252,1179284,1205304,1238292,1284012,1216340,1256324,1235636,1215904,1187972,1176952,1183776,1189632,1189980,1184752,1188912,1205148,1268688,1235900,1299624,1333768,1350780,1343552,1357220,1386252,1401640,1487764,1452764,1449120,1485344,1536932,1566960,1561888,1577204,1623400,1612860,1627676,1597420,1482584,1457808,1429352,1422632,1419528,1457208,1524460,1505812,1565828,1590256,1636268,1719764,1691496,1737040,1737480,1789788,1736020,1782416,1753304,1786816,1836640,1869864,1911092,1942600,1945828,1945404,1920356,1940144,1957444,1940224,1927948,1937352,1998340,2044564,2098560,2116512,2168656,2168332,2220688,2219032,2244840,2268760,2264732,2269032,2320412,2253596,2267556,2364124,2382888,2445860,2426828,2582956,2576436,2627000,2791884,2720412,2781470,2819677,2823857,2824649,2839860
 "46000","South Dakota",4,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",769984,776756,794212,806884,820164,820460,802896,836108,847676,878580,919616,850984,878668,860192,846612,812812,811144,816120,815844,818608,805464,812872,832136,867080,852836,897184,924152,939232,932380,943408,960868,972480,1004956,1023832,1007400,1032544,1058884,1063892,1067836,1088288,1123216,1117348,1125844,1096664,1001732,967152,933760,933744,936568,967004,992424,992180,1040068,1076848,1094188,1178792,1152628,1165272,1162232,1183240,1180508,1194280,1198364,1218288,1258048,1275348,1302308,1323472,1321060,1320464,1311828,1295100,1308184,1287744,1268492,1264640,1298772,1332308,1356972,1387684,1403840,1419776,1457692,1459280,1469836,1468652,1456860,1481672,1488460,1433192,1401812,1501968,1503112,1563748,1526164,1604688,1612572,1656540,1782836,1723648,1729639,1786521,1812667,1812563,1820580
