GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "96000","Southwest",6,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",402535340,408875696,417904448,424065868,429934572,435762676,440830144,454389636,471493312,475457208,484899352,488292868,502189980,498934104,499494412,498453184,498483076,502241872,504444776,505242172,504036560,511549224,517460584,526077076,530915020,540102944,551781436,557745572,568794788,576033876,590413764,603392148,624938224,633157676,643494040,659996996,673994280,685838928,691929456,703260440,712976284,717277064,719779260,723843616,692795304,690942096,689357924,693069000,691607696,702882408,712046240,719512904,736060088,742199128,753759120,753584676,780234856,786527580,790374012,815068272,810987072,820573440,822728440,830948456,855912852,865765644,877243592,893354120,907034980,905614736,912446740,916245248,916800352,919117328,925553924,934140072,947422976,958561180,972297676,987391036,1003899988,1015757856,1031015084,1043232008,1068041236,1074769492,1088713864,1104911840,1116832500,1057594024,1088390136,1127795428,1135565112,1173956364,1209062708,1248595304,1274069068,1294618472,1335292824,1353184644,1386425319,1403517292,1428685176,1447396403,1469435657
 "96000","Southwest",6,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",1348400,1325084,1318668,1330308,1392904,1429648,1456656,1469700,1443596,1438320,1450668,1478804,1548632,1567916,1580180,1585796,1335664,1330048,1320604,1306416,1444456,1441144,1454072,1483896,1599104,1635456,1658652,1668708,1886244,1876052,1858796,1833712,1630736,1632856,1664788,1727924,2021140,2090788,2126200,2127376,2174668,2154244,2148132,2156288,2083512,2092884,2090148,2075684,2038304,2001012,1952812,1893740,2144484,2136716,2203448,2345088,2274188,2405268,2474244,2482764,2285440,2258716,2254512,2274380,2517864,2532380,2514940,2467244,2471840,2424624,2410472,2430212,2228948,2277516,2326852,2377748,2341456,2361916,2355588,2321740,2547500,2496800,2463684,2449840,1883628,1901004,1933192,1979520,1986948,2027088,2048376,2050272,2455816,2440316,2430100,2425180,1903992,1918244,1946172,1988064,2024535,2049792,2060562,2107880,2163368
 "96000","Southwest",6,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",401186940,407550612,416585780,422735560,428541668,434333028,439373488,452919936,470049716,474018888,483448684,486814064,500641348,497366188,497914232,496867388,497147412,500911824,503124172,503935756,502592104,510108080,516006512,524593180,529315916,538467488,550122784,556076864,566908544,574157824,588554968,601558436,623307488,631524820,641829252,658269072,671973140,683748140,689803256,701133064,710801616,715122820,717631128,721687328,690711792,688849212,687267776,690993316,689569392,700881396,710093428,717619164,733915604,740062412,751555672,751239588,777960668,784122312,787899768,812585508,808701632,818314724,820473928,828674076,853394988,863233264,874728652,890886876,904563140,903190112,910036268,913815036,914571404,916839812,923227072,931762324,945081520,956199264,969942088,985069296,1001352488,1013261056,1028551400,1040782168,1066157608,1072868488,1086780672,1102932320,1114845552,1055566936,1086341760,1125745156,1133109296,1171516048,1206632608,1246170124,1272165076,1292700228,1333346652,1351196580,1384400784,1401467500,1426624614,1445288523,1467272289
 "96000","Southwest",6,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",330807916,336317440,344486812,350055896,355115248,360007048,363582104,375122768,391091232,393267616,402518612,404768776,418214752,413389496,411518108,408850476,407805964,409910140,410592168,410291436,407622880,413907400,419320832,427547264,431069416,438613832,449522948,454226688,462987076,469601696,483218456,493918768,514306160,520885880,528980712,543733128,555987128,566087164,570225600,579812556,587294752,590124928,591148988,593332192,560934412,557616872,554940728,558232308,555944084,566269024,575500752,584178732,598477392,605290548,617013216,617344580,643791096,649190116,652736412,676973012,672394984,681526596,683829876,690886172,714183332,723158968,733479632,748107580,759763820,757484180,763927800,766614360,765243680,766829028,772700748,780168368,792166040,802237996,814298092,827825556,844088968,854233376,867443408,879270648,902997344,908186720,918754696,931596772,938349152,883922588,910759088,951451976,955030024,993354136,1024057732,1063121224,1086392200,1105284440,1143788772,1156645340,1187038326,1198580597,1221827924,1233319753,1250587974
 "96000","Southwest",6,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",901996,915304,895664,889856,949568,956540,971280,971908,889088,848396,1020684,1218548,875832,895164,866780,890820,884700,923844,920524,925392,907940,904772,946788,939280,929544,964408,1000768,997540,1092136,1016464,1044840,1066452,1126512,1062600,1060652,1065860,1030480,1094468,1132568,1155340,1196008,1134932,1121520,1096864,1116248,1107376,1114688,1166368,1141864,1204656,1213400,1318688,1259700,1230348,1300632,1154916,1258928,1248832,1266144,1365628,1269816,1337176,1322480,1319244,1367892,1394980,1436368,1470292,1478172,1427592,1596248,1570040,1614408,1563928,1629604,1686508,1774348,1636752,1660320,1714064,1852660,1755336,1737960,1710208,1826388,1808076,1827560,1852380,1825512,1767680,1969816,1902640,1776428,1777940,2033844,2125332,2055456,2052248,2104896,1829760,2057914,2105310,2121009,1897531,1927003
 "96000","Southwest",6,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",12999700,12845724,12521496,12456544,12683048,13165264,12325176,12597388,13571656,12685068,13923388,13798944,15129776,14788356,14571520,14047384,13741996,13800796,13945516,14354832,13650984,14318920,14500492,15427588,15816060,15887352,16493228,16780928,19136304,18259972,20936432,20690816,23854424,24115088,23876640,24903476,25067164,27451484,28045132,29680200,31438916,33087656,33845736,32817328,29383192,27146104,27545248,27955276,28912692,28756656,29371492,31571980,34465152,34829684,36995016,36914848,39038152,39650272,40534068,42610436,41112908,43770132,43294440,44072884,45462212,47680584,49167376,49167528,46950140,43364304,41954948,40486596,37859940,35178412,33999252,34141344,34573924,34599700,35791348,36254980,38351628,39241592,40053332,40453848,42421236,41206168,41190036,39878896,39313708,32757892,29372220,29996424,28618188,29336264,29771252,31603104,34320396,34411936,36562120,37293264,40087233,38505561,40381271,40090110,39626796
 "96000","Southwest",6,SQINC7N,300,"22","   Utilities ","Thousands of dollars",3992628,3707112,3844372,4001592,4204196,4257244,4248416,4459724,4922040,5210604,4997492,5018028,5759264,5394592,5107576,5408840,5377172,5097472,5365028,5450372,4775784,4907072,4935552,4983564,4847576,5267888,5108432,5042684,5034988,5343860,5269660,5379964,5591388,5584264,5438328,5553560,5991380,6672228,6321576,6862888,6655208,6367228,6450468,6494396,6844336,6521596,6633152,6544976,6477484,6535464,6700496,6988632,6674916,6799136,6904600,6885904,7201656,7504596,7254076,7618192,7494724,7367608,7375796,7433376,7633416,7613592,8321288,7924536,7763016,7985556,7861996,8160316,7878924,8110628,8044096,8100848,8288544,8165064,8796540,8345004,8731892,8593412,8504832,8578960,9440320,9010728,8927072,8977256,8614012,8509104,8888372,8798240,8960344,9086196,9223800,9205124,9286064,10021104,9879472,10342224,10492527,11391560,10931113,11200526,11512651
 "96000","Southwest",6,SQINC7N,400,"23","   Construction ","Thousands of dollars",22762588,23840508,24528636,25173540,25872156,26091848,26566040,27690740,28659940,29335000,29922348,30364428,31415400,31741592,31806184,31322760,31636620,31269416,31287376,31137520,30923756,31332424,31615300,32274856,31719092,32462836,33658640,33376776,34771144,36078840,37503184,38526464,42285024,42187448,42917488,44272152,45302560,45700632,46024736,47379580,48340660,48482892,47557948,48094004,43679148,41338600,40085800,39278168,38011784,38527004,38904240,39050968,38611976,39199048,40772004,39687512,42129448,42777568,43228940,45280400,45711120,46495352,46999800,47544996,49860408,50584808,51121488,52938372,54189604,54156100,55360904,56211692,55795072,56954012,58574200,58768304,59117644,60043464,60848308,62585200,64261676,64905460,66338688,67539464,70220064,71023772,72254344,72947408,72255076,68612676,70005020,71416408,69557900,70747852,74630936,78507600,78694988,81375312,85767084,87087888,88310259,91169360,94344869,94664899,96805877
 "96000","Southwest",6,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",58681832,59211852,60817016,61588648,60128416,60705760,61045852,62336488,66533588,65629536,65714440,65666196,68342608,65298964,63924524,62490048,60955080,61758272,60628100,60215168,59098596,60024104,59952912,61920340,60714392,62001756,63376396,63922312,65232672,65688760,67392104,67334996,71474244,71064544,72096588,74011528,74679156,74939576,75580360,75733836,75842888,75334232,75049624,74475200,68891652,67827216,66659960,67654860,66066172,68140328,69556520,70904888,73177992,73616296,74335772,74068172,77826736,78178748,78291092,80620740,79262420,79953352,80291180,80390828,82357224,83725036,84001844,85873132,87623720,84751012,83899396,83847108,82759176,82657456,82385464,82056036,83858072,84791908,86836128,88015796,90378532,90258948,91229952,92778184,95275348,95958692,96585212,98759172,97188428,93823372,92392128,96220528,95897252,97579888,99741228,102187960,104542904,106977864,110326560,112466288,113745619,115693477,118990361,119420189,121575437
 "96000","Southwest",6,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",39971084,40350652,41979616,42655120,41280476,41603228,41954284,43015036,46674960,46027360,45894952,45880824,48118044,45397856,44110768,43040468,41801352,42313528,41309700,40819656,39801216,40740580,40706984,42155392,41321736,42204024,43436280,43954328,44832328,44784980,46662120,46769524,49975256,50028980,50452368,52980712,52335212,52874996,53513048,52920768,53537528,53299940,53127704,52895864,48806236,46809508,45920784,46860096,45524628,47328612,48061148,49220636,51428516,51731060,52604964,52250612,55069052,55158092,55819484,57005196,56243668,56664960,56981508,56859636,58511736,59674664,59729588,61087408,61507816,59482352,58673448,58042584,57449904,57142792,56817800,56217148,57733780,58303268,59799320,60778904,62156508,62715640,63124728,64402976,65973044,66652872,67184968,68753920,67968488,65076108,62742952,65890492,66528320,67573480,68544900,70067460,71318732,73192616,75911636,77546376,77534638,79980238,82955417,83355138,85399438
