GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "47000","Tennessee",5,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",74126908,76314936,76705648,78246040,78864256,80073700,80606452,82704344,84080620,84020120,86036280,84790224,85725684,86174184,86135480,86565644,87157852,88602720,88562708,89164084,89626464,90666612,91644612,93492800,94136068,96038072,98409992,98325988,99072064,99805364,101436296,102587232,104782136,106714248,107162524,109357560,110462660,111557724,111939392,113977312,114464140,113626400,113971600,112654968,107954080,107900188,107277084,108691248,109156400,110897044,111734164,112840300,114021352,114842588,116775964,115758424,120127916,121507392,121407600,124283884,123715144,123592636,123660628,125153892,128303636,129036680,129850320,132248384,134056516,137374804,138574508,139979492,140652848,141122276,143549512,146073928,146902020,148005856,149584552,152460180,154446448,154982372,158414624,159356992,162174876,162921804,164129768,165702688,169590212,158503720,167762724,175187156,178096112,183286044,188593632,193206816,198833304,200644024,206289044,208505528,214044676,216649283,220915427,218139174,221436348
 "47000","Tennessee",5,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",135304,137664,139064,139524,140248,140408,139280,137464,124576,121880,122448,125868,142332,144100,145232,145748,172384,171660,170440,168612,187760,187332,189008,192884,181184,185300,187924,189068,153068,152240,150840,148808,167596,167816,171096,177580,194132,200820,204220,204336,185916,184160,183636,184336,178304,179100,178876,177636,176172,172940,168772,163668,143936,143412,147888,157388,196784,208128,214096,214832,214100,211584,211196,213056,226212,227516,225948,221664,185892,182332,181260,182752,201264,205648,210104,214704,219240,221160,220572,217396,211440,207224,204468,203324,162648,164144,166928,170924,174116,177632,179508,179676,169972,168896,168180,167840,240060,241860,245388,250664,255263,258447,259805,265771,272767
 "47000","Tennessee",5,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",73991604,76177272,76566584,78106516,78724008,79933292,80467172,82566880,83956044,83898240,85913832,84664356,85583352,86030084,85990248,86419896,86985468,88431060,88392268,88995472,89438704,90479280,91455604,93299916,93954884,95852772,98222068,98136920,98918996,99653124,101285456,102438424,104614540,106546432,106991428,109179980,110268528,111356904,111735172,113772976,114278224,113442240,113787964,112470632,107775776,107721088,107098208,108513612,108980228,110724104,111565392,112676632,113877416,114699176,116628076,115601036,119931132,121299264,121193504,124069052,123501044,123381052,123449432,124940836,128077424,128809164,129624372,132026720,133870624,137192472,138393248,139796740,140451584,140916628,143339408,145859224,146682780,147784696,149363980,152242784,154235008,154775148,158210156,159153668,162012228,162757660,163962840,165531764,169416096,158326088,167583216,175007480,177926140,183117148,188425452,193038976,198593244,200402164,206043656,208254864,213789413,216390836,220655622,217873403,221163581
 "47000","Tennessee",5,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",63335960,65177920,65513676,66951392,67436380,68593996,69046076,70874772,72078688,71890400,73740884,72316396,73227200,73360552,73326136,73392808,73734564,74991640,74889528,75390232,75511984,76349672,77234248,79050044,79414824,81157368,83280000,83129588,83816836,84666032,86106836,86999888,89221676,90770456,91018228,92923268,93930776,94798668,95078032,96774388,97012472,96144184,96242688,94937900,90261936,90083428,89563960,90867888,91119000,92645628,93618972,94679000,95777544,96428124,98451964,97436736,101750916,103228988,102808584,105756048,105046048,104947004,105207040,106414604,109251792,109943184,110652924,113202984,114865200,118190064,119128840,120657660,121152688,121622872,123728496,125888548,126814100,127473840,128983296,131510196,133459804,133663512,136859476,137790048,140615164,141209336,141965472,143202044,146633620,136290592,145081328,152401848,155185532,159687168,164678792,169143820,174473292,176031408,181004988,182968616,187612827,190200796,193178283,190317992,193015942
 "47000","Tennessee",5,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",78644,81820,82220,84644,85116,81392,84652,87672,81572,76864,90420,117544,90796,91604,91672,90252,85484,92004,87652,84072,85488,88344,89000,90324,90860,90232,91332,91320,92376,91352,92364,98600,100352,93168,89836,103904,95344,101204,99652,96792,90252,96888,97596,99152,102972,96208,92488,94968,100076,106292,109640,102040,106500,106752,109592,114244,115948,115236,108872,125464,120272,117492,123680,124012,127148,131100,129572,132500,129044,135548,145628,134684,147492,140492,138484,145728,146668,143360,143100,149140,152304,152664,160384,156060,158152,157760,160572,173680,163272,158652,166016,163228,156064,165368,176320,168080,176340,177292,176904,178508,190739,177355,167386,174396,168531
 "47000","Tennessee",5,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",206792,181236,181568,196704,184544,175940,178604,172240,163968,180168,171368,167572,169864,168856,170760,186328,150564,167756,160644,152040,145112,144784,144156,144812,140332,148020,154860,149352,163272,162712,167296,165396,194888,173844,178724,205356,207300,214052,211712,206652,228212,233372,233384,225324,191020,183908,182080,178036,217724,210756,223692,249828,209596,219228,224396,230256,223676,227052,204484,227492,221816,219416,216864,210980,226768,234440,241392,228196,235580,255916,221184,230312,235704,197292,192200,201436,205492,218644,229616,231904,249720,256896,255656,253912,258368,265992,268780,267544,255972,245404,246956,271080,278144,271316,296276,300800,340108,337760,335472,360544,375738,432148,384712,401195,405066
 "47000","Tennessee",5,SQINC7N,300,"22","   Utilities ","Thousands of dollars",158840,149472,141912,142344,143360,145048,149916,149980,143964,158136,153112,153704,157024,158084,160668,164780,159900,165172,168092,169880,170268,169164,166228,171320,172964,180412,171840,174836,176696,176784,185276,182540,182952,188348,190428,199708,192432,197712,209280,197588,206096,200452,201520,209548,231864,207160,215388,211148,203072,204360,205852,213388,205284,213800,211476,205408,204180,216448,218992,216704,217308,218908,216720,222864,229376,227700,225508,236708,234916,238704,238816,240604,232892,241600,247052,253348,255264,258484,262848,260896,263092,265140,276020,277208,281832,283240,287560,303936,305356,305828,313484,311276,330880,329480,340808,343716,353212,371384,383816,396184,410275,430617,438534,432262,438496
 "47000","Tennessee",5,SQINC7N,400,"23","   Construction ","Thousands of dollars",3655600,3786804,3923300,3999380,4025532,4082236,4069388,4212624,4443648,4338116,4239648,4242716,4349512,4282244,4217736,4157648,4171156,4070304,4065976,4033172,4082448,4239876,4228336,4345584,4305588,4381744,4497180,4305188,4516644,4649796,4812984,4908644,5287832,5378724,5354312,5662644,5721348,5794604,5800688,6125820,5976604,5786876,5682120,5578076,5081252,4698720,4616812,4417540,4549564,4696348,4693172,4504736,4767344,4962144,5026428,4825736,5256072,5012916,5015304,5019936,5049872,5016308,5068124,5138836,5331484,5469204,5461496,5529388,5796348,6086048,6227844,6343944,6270420,6226076,6375976,6811944,6833120,6808452,6942812,7307816,7081056,7217932,7368588,7415728,7845992,7869300,7847632,7824832,8082424,7953688,8386772,8684404,8574348,8792592,9220780,9798848,10184292,10463260,10829624,10984368,11769583,11836110,12248052,12378771,12689631
 "47000","Tennessee",5,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",16351860,16809152,16712988,17024276,16923288,17047260,17442188,17714160,17863796,17686828,17706024,17266968,17120472,16834376,16688072,16386968,16460636,16721960,16585304,16574176,16445628,16356320,16454572,17054224,16673264,17280708,17674984,17601636,17460076,17433676,17637084,17701204,17953000,17937004,17835960,17882296,17905204,17741684,17480696,17637088,17870960,17351248,17516016,16761304,14865016,15207656,14801816,15495360,15210948,15500344,15615060,15838152,16136296,15849556,16306992,15964844,16744600,17697400,16811708,17399744,17473316,17211836,17389252,17577416,18201520,18119924,18243652,18625448,18565008,19072404,19177168,19415400,19537236,19811416,20126220,20377028,20433676,20654440,20685304,21170304,21353964,21275312,21508460,21445012,22060340,21956764,21748980,21997880,22497584,19592072,21783640,22782480,22786956,23137872,23302732,23816860,25125124,25207312,26123076,26034332,26456455,27055327,26984753,26695035,27142931
 "47000","Tennessee",5,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",9759404,9983228,9993912,10316236,10277500,10475752,10763600,11030892,11115824,10993612,10939240,10580024,10348540,10200664,10079112,9854724,9898728,10056352,9965236,9941720,9805732,9803096,9878272,10244608,10149096,10365744,10738588,10677668,10691452,10690832,10768328,10783952,11094464,11159512,11029684,11083964,11200880,10842752,10579304,10649852,10738692,10452928,10705464,9902476,8850384,8701404,8459616,8963268,8756288,9041120,9123360,9089456,9451176,9232908,9650032,9592424,10193956,11012480,10268196,10638388,10555376,10434608,10538380,10736532,11048744,11246100,11299632,11642860,11402620,11890708,11921400,12118540,12347488,12452816,12635080,12744144,12902200,13006424,12944640,13213788,13360808,13387764,13564068,13521404,13959148,13872564,13636804,13840924,14283432,11599916,13426288,14221220,14235564,14486236,14394980,14663872,15753212,15841232,16474588,16352112,16905475,17519462,17235858,17268308,17676785
