GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "56000","Wyoming",7,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",5916980,6013652,6106384,6124772,6262648,6312608,6406528,6567512,6728268,6736888,6765156,7110480,7084636,7272204,7396808,7568120,7590452,7653208,7720156,7794076,7802872,7925952,8105988,8300440,8385752,8542412,8704140,8678712,9115220,9182108,9416180,9645332,10123912,10541212,11032300,11205696,11533432,11819400,11891712,12338792,12772616,12840632,13067256,13121868,12631340,12247772,12075660,11830420,12214448,12290336,12539920,12434296,12797964,12839596,13015280,13103524,13430100,13624640,13430972,13684628,13769388,13674800,13638328,13850676,14159000,14345932,14480268,14655380,14619356,14306260,14247096,13949700,13830564,13437036,13220944,13209324,13449612,13689904,13780784,13917436,14067212,14237872,14485432,14620688,14938732,14895264,15160032,15268724,15208632,14125116,14333416,14735804,14848396,15318052,15541512,16087544,16544932,16344788,16613032,16884892,17524698,17693879,18043284,18059846,18266866
 "56000","Wyoming",7,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",67424,66768,65984,65440,64728,64536,65632,67640,71936,74864,77160,78556,76532,77484,78084,78368,90524,90144,89504,88536,77852,77676,78372,79980,82040,83904,85092,85600,97464,96932,96048,94748,90596,90716,92484,96000,103616,107184,109004,109060,99248,98316,98040,98408,111272,111776,111628,110848,101132,99280,96888,93956,95404,95064,98032,104328,121164,128144,131820,132276,144252,142572,142304,143560,138852,139648,138692,136060,118212,115964,115292,116232,129156,131972,134836,137784,141616,142852,142472,140420,144672,141784,139904,139124,100348,101272,102992,105456,148308,151300,152884,153036,166572,165516,164832,164492,132420,133412,135360,138280,140817,142573,143323,146614,150473
 "56000","Wyoming",7,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",5849556,5946884,6040400,6059332,6197920,6248072,6340896,6499872,6656332,6662024,6687996,7031924,7008104,7194720,7318724,7489752,7499928,7563064,7630652,7705540,7725020,7848276,8027616,8220460,8303712,8458508,8619048,8593112,9017756,9085176,9320132,9550584,10033316,10450496,10939816,11109696,11429816,11712216,11782708,12229732,12673368,12742316,12969216,13023460,12520068,12135996,11964032,11719572,12113316,12191056,12443032,12340340,12702560,12744532,12917248,12999196,13308936,13496496,13299152,13552352,13625136,13532228,13496024,13707116,14020148,14206284,14341576,14519320,14501144,14190296,14131804,13833468,13701408,13305064,13086108,13071540,13307996,13547052,13638312,13777016,13922540,14096088,14345528,14481564,14838384,14793992,15057040,15163268,15060324,13973816,14180532,14582768,14681824,15152536,15376680,15923052,16412512,16211376,16477672,16746612,17383881,17551306,17899961,17913232,18116393
 "56000","Wyoming",7,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",4291664,4374184,4440756,4464736,4557168,4617308,4708124,4801016,4938824,4920272,4943692,5260204,5223144,5358640,5402540,5553412,5524352,5541680,5589252,5628452,5610224,5700656,5866524,6030812,6085488,6214328,6325276,6312892,6636716,6718740,6934816,7094728,7571896,7943024,8369436,8460412,8717168,8937460,8982496,9369708,9752588,9777404,9952572,9954104,9401884,8961048,8774124,8544732,8842084,8933084,9191484,9136024,9416724,9466408,9658740,9679220,9956488,10119196,9919828,10166560,10219036,10106880,10107008,10288520,10586740,10762844,10876024,11026592,10969560,10657940,10532388,10270200,10027460,9681208,9488112,9487276,9681008,9913276,10012980,10140464,10321000,10460172,10675464,10850244,11176152,11130020,11328176,11369584,11181172,10187068,10329092,10723904,10735204,11238804,11409652,12002520,12381872,12194536,12395348,12562348,13142952,13247392,13488688,13442273,13536727
 "56000","Wyoming",7,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",13980,14216,14972,15100,16136,15640,15532,15700,14144,14052,16608,22788,22584,20952,24760,26508,22596,24616,24204,21804,20292,20500,21848,24424,24536,23588,20484,17512,16880,18560,19344,20276,19440,16928,17528,18376,17804,20708,17684,18304,20444,16740,21340,19904,20040,19252,21544,22160,22820,23276,21896,22636,24944,23040,25264,26400,25640,27024,25244,26872,27808,27736,27564,28452,29304,30328,31036,30456,30368,30432,32504,31780,32408,33236,32716,34252,(D),(D),(D),(D),33308,35876,36652,37528,39328,37360,36740,38464,(D),(D),(D),(D),40176,36868,40984,37968,35440,40288,40796,39960,46279,40516,37956,38595,37987
 "56000","Wyoming",7,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",785636,773980,779012,746544,741236,773432,760780,792932,816308,810596,813396,1109484,915272,994544,990816,1014296,1006284,960132,970460,971300,965664,1009388,1049180,1095608,1121312,1165332,1226660,1253200,1305452,1366352,1442296,1486140,1625516,1773988,1872532,1919612,1934976,1970064,1962544,2044124,2104616,2270332,2281380,2350452,2090164,1878680,1799476,1761456,1869252,1903436,1967948,2021852,2109556,2164520,2262884,2256364,2330832,2345316,2261408,2245216,2245508,2266344,2275972,2268272,2359376,2405920,2431844,2445140,2316432,2112984,2035748,1963716,1734424,1585052,1544652,1553532,1621896,1739900,1803944,1829372,1856096,1876724,1927424,1922636,2032096,1954232,1920792,1948508,1816240,1550332,1329152,1361120,1330300,1404056,1442284,1488996,1518004,1621228,1684572,1665508,1741456,1793903,1837789,1784866,1759936
 "56000","Wyoming",7,SQINC7N,300,"22","   Utilities ","Thousands of dollars",122504,121640,119968,123904,120268,128976,118672,127724,131876,120460,127324,112692,(D),(D),(D),(D),(D),(D),(D),(D),133672,140056,139652,149944,147772,147996,149236,146544,153952,155020,171108,152292,175020,178628,148656,177988,171148,182940,188336,194812,187792,184472,191192,208008,197972,197660,195744,194272,200412,204020,200048,203956,212572,211168,218292,197368,205868,208532,212092,209012,208312,209432,213220,219500,219204,217840,221484,226316,230160,229216,238544,238164,233120,228572,240552,234012,240692,245168,209920,244056,235060,251464,253216,256920,252476,247976,236880,258748,(D),(D),(D),(D),252480,241704,242852,240164,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SQINC7N,400,"23","   Construction ","Thousands of dollars",436408,461536,472804,472564,509604,525824,531396,578532,590496,578816,570488,579608,622268,643448,663768,680532,(D),(D),(D),(D),653632,659816,701000,712732,681992,690752,673932,665864,717720,747900,792388,818464,915464,981140,1004864,1088572,1152104,1195664,1255200,1357628,1542056,1371248,1399280,1365864,1230476,1157668,1120928,1046656,1106760,1118316,1127240,1110704,1034412,1010712,1066128,1074720,1071200,1169576,1102472,1091704,1134856,1118608,1111608,1220156,1249596,1296044,1298784,1256960,1303444,1234996,1231644,1186360,1157416,1138032,1090096,1052340,1045476,1056876,1034288,1029728,1055864,1099824,1134752,1229868,1335052,1335524,1415972,1392916,1353700,1197796,1248012,1200732,1190012,1248808,1317780,1348944,1349016,1385236,1361824,1422404,1474418,1530077,1587349,1632637,1714876
 "56000","Wyoming",7,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",320444,321948,324288,339172,330368,331160,333292,335732,343620,355760,345668,348052,388604,380252,366840,371452,(D),(D),(D),(D),353636,349636,361732,368704,365092,373332,387480,378928,402924,399512,397636,413264,427068,441540,440108,458248,477648,476720,475496,479616,498468,491844,496596,506724,475268,465368,465236,457920,464232,457156,461228,467996,499372,506340,537596,520128,530148,535728,529088,547476,546488,556692,560908,568256,607576,608580,612552,621872,638336,622664,643912,622876,631296,607472,603508,593424,(D),(D),(D),(D),660088,655544,675744,695164,712952,707556,707148,715700,712012,692976,697524,671948,670200,715352,705064,707188,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",139088,144196,145176,145320,147264,150140,152616,153688,156428,149484,148368,152580,157488,155096,154340,153624,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),183000,186016,184540,190604,199908,208408,211208,215300,222248,227696,224576,228576,227140,230084,234332,244328,224368,209824,204332,196796,194400,196452,205228,208596,218056,220328,225964,232712,238652,239964,234044,237132,238028,239896,239296,240916,255580,262976,262052,267128,263592,258460,258124,239136,232344,219684,212508,216744,(D),(D),(D),(D),258456,266088,274512,295128,304116,299628,302492,306212,297648,286868,270948,281056,284804,315904,296576,296724,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SQINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",181356,177752,179112,193852,183104,181020,180676,182044,187192,206276,197300,195472,231116,225156,212500,217828,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),219924,213496,213096,222660,227160,233132,228900,242948,255400,249024,250920,251040,271328,261760,262264,262396,250900,255544,260904,261124,269832,260704,256000,259400,281316,286012,311632,287416,291496,295764,295044,310344,308460,316796,321612,327340,351996,345604,350500,354744,374744,364204,385788,383740,398952,387788,391000,376680,(D),(D),(D),(D),401632,389456,401232,400036,408836,407928,404656,409488,414364,406108,426576,390892,385396,399448,408488,410464,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SQINC7N,600,"42","   Wholesale trade ","Thousands of dollars",204820,208920,208304,204452,212316,215672,219468,223664,232184,229108,243336,243272,249416,247736,260696,271072,268304,268680,271588,266580,275524,278132,280176,288368,300532,318368,323364,323848,329852,340496,351548,363472,377452,397348,411924,437292,452308,454088,458168,450156,498320,501000,516820,524528,499880,479476,465776,447236,453840,463820,480880,485916,496768,511312,514896,516408,544776,541988,541676,542988,551772,550680,548316,559120,570552,597276,597140,684016,620128,590104,573144,551564,540476,520212,476808,476216,485256,506240,530180,521324,532520,531008,541116,560316,571280,574052,565648,573536,561728,518712,484772,493388,499804,505508,518784,524976,566456,569624,593000,605368,621200,623871,644705,652209,660747
 "56000","Wyoming",7,SQINC7N,700,"44-45","   Retail trade ","Thousands of dollars",497552,514032,502824,516032,516392,523428,541552,533104,557004,550668,568856,569352,584476,587504,590616,594900,601352,604332,615724,611536,617728,617556,629336,634752,642136,648788,660728,651676,675028,676692,673516,694960,713760,737296,740024,766580,786360,801100,803168,826060,837404,833612,830588,826288,806692,795120,779196,769784,764424,782844,785300,755544,800268,779676,785676,779596,812852,815588,815328,882900,833960,839184,836824,832784,846696,850436,861876,868176,900752,898972,909356,885060,909536,894332,867168,875008,877888,877916,886844,894296,883776,887020,894324,899480,909104,897280,909840,928044,928828,939760,951592,994544,1018532,1034280,1043900,1052480,1097772,1061512,1082876,1091264,1112430,1106624,1148598,1147742,1151598
 "56000","Wyoming",7,SQINC7N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",354968,368148,380100,357696,369968,373092,366900,369288,388944,375056,382812,385808,(D),(D),(D),(D),(D),(D),(D),(D),392788,397656,403480,418328,419324,438020,450040,460120,471768,486680,501996,512064,551336,571856,588452,600700,611152,627608,636092,653816,658556,683000,682008,677084,655252,603424,591008,584240,598092,601640,636452,639692,650876,673160,687020,697872,700920,712924,694788,709464,702804,711640,704888,710412,742164,763764,794316,825928,808796,793160,766004,725616,695668,667552,655132,647448,661792,685116,688708,699892,721104,729788,750004,767464,773040,779776,778092,760732,744604,695120,701276,709316,718312,740080,753576,760932,776164,759880,778648,794748,839600,843149,855255,845636,835543
