GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "00000","United States", ,SQINC7N,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted) ","Thousands of dollars",4070132000,4141016000,4213416000,4285320000,4363620000,4408260000,4472112000,4583084000,4752344000,4779100000,4869836000,4893780000,4975720000,4957672000,4932664000,4934448000,4942580000,4995040000,5008996000,5023872000,5023284000,5096504000,5163832000,5251292000,5270124000,5376816000,5488428000,5531844000,5571972000,5635196000,5735220000,5811204000,5966500000,6007040000,6055632000,6176256000,6339388000,6366952000,6393692000,6471296000,6538008000,6529368000,6542972000,6514048000,6219112000,6247048000,6229264000,6270540000,6223900000,6351592000,6413752000,6464228000,6567044000,6597636000,6671180000,6627152000,6826000000,6866324000,6896360000,7083980000,7034488000,7093756000,7103728000,7187172000,7349484000,7400660000,7494604000,7626072000,7738372000,7823032000,7895424000,7950380000,7987044000,8034452000,8115280000,8210220000,8306992000,8398192000,8513432000,8659456000,8752836000,8831852000,8956604000,9011308000,9209876000,9261640000,9317540000,9464680000,9612124000,8980348000,9416644000,9784248000,9865332000,10157036000,10435976000,10742024000,10876752000,10978524000,11260680000,11306728000,11554340000,11722890000,11906688000,11965524000,12127774000
 "00000","United States", ,SQINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",15636000,15852000,15988000,16056000,16036000,16080000,16196000,16364000,16592000,16836000,17092000,17360000,17668000,17888000,18028000,18092000,18080000,18004000,17876000,17684000,17436000,17396000,17552000,17912000,18476000,18896000,19164000,19280000,19252000,19148000,18972000,18716000,18388000,18412000,18772000,19484000,20544000,21252000,21612000,21624000,21292000,21092000,21032000,21112000,21328000,21424000,21396000,21248000,20980000,20596000,20100000,19492000,18772000,18704000,19288000,20528000,22416000,23708000,24388000,24472000,23948000,23668000,23624000,23832000,24272000,24412000,24244000,23784000,23028000,22588000,22456000,22640000,23128000,23632000,24144000,24672000,25180000,25400000,25332000,24968000,24308000,23824000,23508000,23376000,23412000,23628000,24028000,24604000,25360000,25872000,26144000,26168000,25952000,25788000,25680000,25628000,25632000,25824000,26200000,26764000,27255000,27595000,27740000,28377000,29124000
 "00000","United States", ,SQINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",4054496000,4125164000,4197428000,4269264000,4347584000,4392180000,4455916000,4566720000,4735752000,4762264000,4852744000,4876420000,4958052000,4939784000,4914636000,4916356000,4924500000,4977036000,4991120000,5006188000,5005848000,5079108000,5146280000,5233380000,5251648000,5357920000,5469264000,5512564000,5552720000,5616048000,5716248000,5792488000,5948112000,5988628000,6036860000,6156772000,6318844000,6345700000,6372080000,6449672000,6516716000,6508276000,6521940000,6492936000,6197784000,6225624000,6207868000,6249292000,6202920000,6330996000,6393652000,6444736000,6548272000,6578932000,6651892000,6606624000,6803584000,6842616000,6871972000,7059508000,7010540000,7070088000,7080104000,7163340000,7325212000,7376248000,7470360000,7602288000,7715344000,7800444000,7872968000,7927740000,7963916000,8010820000,8091136000,8185548000,8281812000,8372792000,8488100000,8634488000,8728528000,8808028000,8933096000,8987932000,9186464000,9238012000,9293512000,9440076000,9586764000,8954476000,9390500000,9758080000,9839380000,10131248000,10410296000,10716396000,10851120000,10952700000,11234480000,11279964000,11527085000,11695295000,11878948000,11937147000,12098650000
 "00000","United States", ,SQINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",3373808000,3436912000,3501024000,3566148000,3638616000,3674388000,3726696000,3824796000,3979760000,3993092000,4078360000,4094656000,4166320000,4135924000,4095924000,4083544000,4079936000,4119640000,4122364000,4129124000,4116964000,4180428000,4242016000,4321976000,4328696000,4423292000,4526368000,4558644000,4589016000,4644052000,4734920000,4800988000,4947712000,4977028000,5009292000,5115384000,5261568000,5279568000,5293008000,5355756000,5406504000,5387036000,5385784000,5344876000,5050700000,5065680000,5045188000,5082732000,5033912000,5151392000,5219460000,5271036000,5373104000,5397968000,5472680000,5435552000,5623096000,5664804000,5693012000,5875348000,5821884000,5881096000,5893016000,5967268000,6121588000,6163848000,6246916000,6366400000,6469704000,6545116000,6610604000,6659180000,6685892000,6723960000,6792172000,6879136000,6964588000,7047068000,7150464000,7284152000,7366772000,7434724000,7544472000,7591948000,7785320000,7824804000,7857496000,7981412000,8097384000,7512580000,7915708000,8282440000,8351920000,8623500000,8866652000,9163376000,9282180000,9371548000,9629172000,9651116000,9868799000,10012263000,10153948000,10178524000,10302349000
 "00000","United States", ,SQINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",8932000,8948000,9140000,9300000,9540000,9492000,9508000,9636000,8656000,8540000,9844000,12484000,10008000,10080000,9964000,10104000,10016000,10176000,10260000,10268000,10444000,10440000,10576000,10828000,10872000,11136000,10944000,11052000,11380000,11452000,11724000,11952000,12288000,11900000,12104000,12288000,12088000,12820000,12988000,13068000,13176000,13216000,13280000,13128000,12524000,12652000,12740000,12808000,13100000,13636000,13912000,13944000,13820000,13528000,14280000,14428000,14720000,14752000,15012000,15472000,15680000,15952000,15876000,16112000,16492000,16600000,16980000,17232000,17776000,17536000,18780000,18308000,19476000,18992000,19216000,19692000,19708000,19892000,20132000,20332000,20784000,20776000,21088000,21288000,21556000,21964000,22004000,22376000,22268000,21448000,23324000,23820000,22808000,22252000,25280000,24892000,24900000,25052000,25200000,24848000,24774000,24912000,25001000,25475000,23774000
 "00000","United States", ,SQINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",30332000,29520000,29224000,28808000,28752000,29080000,27896000,28636000,29500000,28676000,30072000,30308000,32440000,32452000,32656000,31576000,30928000,30400000,30476000,30880000,29804000,30976000,31180000,32860000,33180000,34060000,35368000,36104000,38740000,38280000,42208000,41868000,46400000,47700000,47912000,49672000,50328000,53528000,54588000,56872000,59604000,62864000,64356000,64100000,57292000,54176000,53908000,54500000,55964000,57340000,59388000,63280000,66612000,67772000,71688000,71576000,75564000,76668000,76704000,78812000,77292000,80500000,79952000,80596000,83520000,86468000,88372000,89040000,84704000,78860000,76016000,72964000,67648000,62732000,61308000,61196000,62016000,62852000,64832000,66304000,68984000,70168000,71432000,71912000,75744000,73592000,72980000,71024000,70292000,59552000,54676000,55676000,54096000,55916000,56884000,60180000,63552000,64712000,68320000,68964000,73001000,72051000,74213000,73651000,73528000
 "00000","United States", ,SQINC7N,300,"22","   Utilities ","Thousands of dollars",35000000,34592000,34624000,35032000,35464000,35372000,35744000,36744000,38844000,37868000,38048000,38652000,39504000,40016000,39692000,39836000,39656000,39896000,40120000,39856000,39320000,38828000,39192000,40220000,40816000,41328000,41084000,40816000,40956000,41356000,42272000,43040000,43036000,43348000,43888000,44124000,44636000,46284000,46824000,46808000,48204000,47552000,47804000,48724000,49984000,48512000,48276000,48408000,48040000,48644000,49208000,49788000,50576000,51296000,51088000,51176000,50484000,52664000,53364000,54168000,53564000,53524000,53364000,52840000,54580000,54684000,55012000,56068000,56948000,57096000,57824000,57876000,57280000,57792000,58372000,59496000,60176000,60336000,60696000,61164000,61600000,61964000,62128000,63092000,63556000,63508000,63636000,64572000,65044000,64296000,66140000,65956000,66044000,66812000,67196000,66648000,68316000,70488000,70756000,72272000,73299000,74316000,74928000,75539000,77247000
 "00000","United States", ,SQINC7N,400,"23","   Construction ","Thousands of dollars",200880000,207048000,215588000,221616000,227292000,229832000,233044000,242732000,253148000,254892000,257196000,261376000,271112000,272960000,272420000,272976000,275176000,273324000,273616000,273944000,272340000,275888000,279976000,286064000,285788000,295432000,303176000,302168000,310116000,317440000,326996000,331640000,354096000,353532000,351384000,359440000,369108000,370196000,367164000,372480000,373552000,367344000,359836000,356504000,325456000,308672000,301584000,292192000,283252000,285308000,287360000,283816000,285256000,288428000,293960000,289088000,303036000,302708000,301864000,310664000,315448000,319940000,324384000,328884000,337772000,345988000,352772000,359988000,369276000,377776000,383456000,392332000,397248000,404176000,410060000,418540000,425988000,431972000,441216000,449552000,461288000,465352000,473104000,480040000,495700000,500276000,503564000,507604000,513148000,466168000,510820000,520032000,519152000,524472000,544020000,560516000,572388000,579988000,595228000,605024000,617680000,631078000,637888000,648860000,663414000
 "00000","United States", ,SQINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",669952000,678372000,678364000,694820000,690772000,698320000,710592000,720764000,752208000,739768000,750092000,735672000,740288000,722584000,701448000,689116000,680176000,686104000,678020000,673608000,667596000,667872000,668916000,689788000,674040000,688912000,706568000,702052000,704896000,706012000,712808000,714972000,739036000,735240000,733036000,741004000,752844000,753120000,748988000,749196000,749604000,745920000,739008000,725232000,673392000,658508000,648708000,661556000,648500000,672004000,681328000,691496000,704628000,703756000,710028000,705008000,729088000,733124000,732164000,739472000,739848000,744520000,747188000,752980000,770928000,774880000,781272000,794836000,802576000,805564000,809972000,810320000,809280000,809832000,814556000,822172000,830692000,840660000,848832000,863248000,877772000,874560000,887532000,894592000,908164000,911180000,906092000,922664000,923152000,868980000,896672000,933288000,936488000,955544000,960440000,993804000,1011844000,1025248000,1051684000,1050428000,1067169000,1081798000,1102575000,1102566000,1114579000
 "00000","United States", ,SQINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",440488000,446812000,445744000,458556000,454532000,461564000,470572000,481388000,504996000,495540000,504544000,489596000,495160000,480888000,463112000,453500000,444592000,449328000,442088000,438096000,433268000,432916000,434736000,449676000,440300000,450456000,464500000,460352000,464644000,463708000,470076000,472672000,493936000,491656000,488312000,495256000,502884000,502084000,500400000,498012000,498036000,495992000,490360000,478512000,437352000,425452000,417356000,426560000,415876000,437076000,442612000,451900000,464088000,463356000,469804000,466840000,485772000,487100000,484832000,489792000,490816000,492804000,496616000,497996000,510420000,514916000,520108000,528832000,532692000,534012000,535372000,534244000,535020000,534572000,537836000,542060000,547720000,556164000,561028000,573736000,583488000,584268000,592608000,596856000,606440000,606660000,601320000,615604000,612068000,570084000,587472000,616116000,620684000,637056000,629856000,654288000,666392000,677576000,696160000,693556000,708209000,720365000,739591000,736928000,748339000
