state,region
Alabama,South
Alaska,Mountain
Arizona,Southwest
Arkansas,South
California,Pacific
Colorado,Southwest
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Florida,Southeast
Georgia,Southeast
Hawaii,Pacific
Idaho,Mountain
Illinois,Rust Belt
Indiana,Rust Belt
Iowa,Rust Belt
Kansas,Plains
Kentucky,South
Louisiana,Tex-ish
Maine,New England
Maryland,Northeast
Massachusetts,New England
Michigan,Rust Belt
Minnesota,Rust Belt
Mississippi,South
Missouri,South
Montana,Mountain
Nebraska,Plains
Nevada,Southwest
New Hampshire,New England
New Jersey,Northeast
New Mexico,Southwest
New York,Northeast
North Carolina,Southeast
North Dakota,Plains
Ohio,Rust Belt
Oklahoma,Tex-ish
Oregon,Pacific
Pennsylvania,Rust Belt
Rhode Island,Northeast
South Carolina,South
South Dakota,Plains
Tennessee,South
Texas,Tex-ish
Utah,Mountain
Vermont,New England
Virginia,Southeast
Washington,Pacific
West Virginia,South
Wisconsin,Rust Belt
Wyoming,Mountain
Nebraska CD-1,Plains
Nebraska CD-2,Plains
Nebraska CD-3,Plains
Maine CD-1,New England
Maine CD-2,New England
