state,pct
Alabama,30
Alaska,8
Arizona,10
Arkansas,29
California,5
Colorado,17
Connecticut,6
Delaware,7
District of Columbia,5.1
Florida,12
Georgia,21
Hawaii,2
Idaho,15
Illinois,9
Indiana,23
Iowa,20
Kansas,19
Kentucky,31
Louisiana,14
Maine,7
Maryland,9
Massachusetts,3
Michigan,13
Minnesota,13
Mississippi,25
Missouri,22
Montana,30
Nebraska,17
Nevada,8
New Hampshire,13
New Jersey,3
New Mexico,8
New York,4
North Carolina,21
North Dakota,22
Ohio,17
Oklahoma,25
Oregon,14
Pennsylvania,17
Rhode Island,1
South Carolina,28
South Dakota,29
Tennessee,32
Texas,13
Utah,2
Vermont,8
Virginia,14
Washington,11
West Virginia,32
Wisconsin,11
Wyoming,21
